,index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
2027,2235,Data Analyst,$74K-$140K (Glassdoor est.),"Requirements
Adept at using Access, Excel, Power Point and Word.
General Data Warehouse / Business Intelligence knowledge including data modeling and Key Performance Indicators (PKIs) preferably in the SAP Business Objects environment.
Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks
Identify trends and opportunities for growth through analysis of complex data sets
Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets
Create best-practice reports based on data mining, analysis, and visualization
Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data
Work directly with management and users to gather requirements, provide status updates, and build relationships
Work closely with project managers to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision-makers
Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity
Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources
Define and implement data and integration logic, selecting appropriate combination of methods and tools within defined technology stack to ensure optimal scalability and performance of the solution
Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across data sets (1.) Suggest design solutions (2.) To participate and facilitate the walkthrough to brief the Functional Specification mapping to Business Requirements. (3.) To prepare the functional specification document and ensure for completeness and storage. (4.) To prepare and / or aid the preparation of test cases in line with functional requirements (5.) To understand the business requirements and map it to functional specifications.
AWS experience highly desired
Requirements
Bachelor's degree in a related field and 2 years experience in Business Intelligence (BI) or Data Warehouses and 2 years experience working with SQL and Access. Four additional years of related experience will be considered in lieu of a Bachelor's degree.
5 years experience in quantitative analysis and statistical modeling (regression, correlation, clustering, etc.).
4 year of experience consulting or experience in a similar field requiring client collaboration, presentation, and delivery.
3 years experience using analytics tools and languages R, Python, SAS, Oracle and SQL etc.
3 years experience combining data sets, extracting key variables, and creating new variables to enhance modeling.
3 years experience performing basic ETL functions and understanding of data quality steps/measures.
US Citizen; no dual citizenship.
Minimum of a Secret Interim clearance to start (Day 1 requirement).
CompTIA Security+ certification required to start (Day 1 requirement).
CDO is an Equal Opportunity Employer",3.3,"CDO Technologies Inc
3.3","San Antonio, TX","Dayton, OH",201 to 500 employees,1995,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,-1
2028,2236,Data Science Team Lead,$74K-$140K (Glassdoor est.),"Data Science Team Lead

Overview

Brief statement about project type and how role supports

This position involves the development of content and integrations for the Security Information and Event Management (SIEM) Platform (Sumo Logic Cloud SIEM Enterprise). Candidates should have a working knowledge of Data Science principals and experience with data science methodologies. Additional experiences include: Experience with API programming and development; Experienced with schema use; Proficient in python; working knowledge of Spark.

Python Development 10 Years

Job Responsibilities

The Cyber Technical Architect Mid provides thought leadership related to current and future customer plans with regard to protecting customer information technology from cyber threats. The Cyber Technical Architect Mid possesses knowledge of the future direction and trends associated with the stated information technology and is up to date with current threats associated with it.

This individual has experience in designing and implementing protections for information architecture. The Cyber Technical Architect Mid designs secure architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross-functional requirements and interfaces.

For more open requirements,

Please visit http://www.compqsoft.com/current-openings.html

About Us: CompQsoft Inc. Established in 1997, headquarters in Houston, TX and office in Leesburg, VA. CompQsoft offers a range of comprehensive Cyber Security, Infrastructure, Cloud solutions, ERP implementation, Business Intelligence, Application development, Ecommerce applications and Management consulting services. CompQsoft is Certified CMMI Level 3 practitioner for Development and Services, ISO 9001:2015, ISO 27001:2013 & ISO 20000-1:2011 Certified. CompQsoft is a fast growing company with a strategy and methodology that is strongly focused on the success of our clients, predominantly the Federal government. CompQsoft is an Equal Opportunity / Affirmative Action Employer. M/F/D/V Visit www.compqsoft.com to learn more about our culture, benefits.",3.5,"CompQsoft
3.5","San Antonio, TX","Houston, TX",51 to 200 employees,1997,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
2029,2237,Sr. Fraud Risk Quantitative Analyst,$74K-$140K (Glassdoor est.),"This role will work directly for the Fraud Risk Manager. They will provide the analytical support working with the technology and application stack that Victory has deployed to operate the Direct Channel business. They will work with the Data Architect to design and build the analytical tools to deliver on protecting the member assets from fraud.ESSENTIAL FUNCTIONS* Individual will perform a broad range of quantitative risk analysis to support the business team within Risk Modeling & Analytics (RM&A), including model development, ongoing monitoring and validation activities* Develop/assist with the design and/or testing of in-house and vendor models; includes working on coding theories, inputs, methodologies, processing, ongoing monitoring and periodic tuning.* Explore new methods for tuning and/or ensuring satisfactory output from models.* Research, compile and evaluate large sets of data to assess quality and determine suitability for model building.* Provide analytical results to the Fraud Risk Manager and Business owners* Leverage SAS and similar applications to perform model reconciliation and testing activities.* This position will be responsible for creating and documenting new procedures, and in compliance with Federal Regulations and following industry best practices, to ensure the necessary actions are taken to prevent fraudulent activity.* Perform in depth research on investment information systems and other open and closed source systems to identify suspected fraud, and potential fraud related activities and transactions.* Perform detailed examinations and investigations on account relationship, customer and transactional activity in an effort to detect fraud.* Perform a variety of tasks associated with identifying suspected fraud, and potential fraud related transactions.* Work with the Fraud Risk Manager and Victory Partners to formulate and articulate a supportable rationale behind a final decision of a SAR or no SAR investigation* Utilize technology experience, business acumen, delivery and leadership skills to develop and grow partnerships with senior Line of Business/Functional leaders.* Achieve acumen of the regulatory legislation environment and how that influences technology roadmap. Knowledge is acquired through regulatory meetings where applicable and updates of current decisions.* Maintain detailed knowledge of company operations, organizational procedures and federal/state regulations.* Some of the daily responsibilities include receiving call from Contact Center personnel and Third Party Service Providers, reviewing account activity, placing security holds, documenting fraud alters, building use case file sand escalating fraud alerts to appropriate groups, and other specialized tasks and projects when required, as well as, other duties as appropriate.Knowledge/Skills/Abilities* MS/MA in statistics, mathematics, economics, or other quantitative field.* 3 to 5 years of experience in model development and/or data analytics, preferably with experience in the financial services industry. Experience within financial crimes, risk, or compliance is preferred.* Knowledge of regulatory and industry standards related to AML and OFAC/watchlist screening.* Superior programming skills (SQL or C++) and demonstrated experience with SAS, R or other advanced statistical/econometric analysis software.* Familiarity with modeling software (SAS EG, SAS EM, Xeno, Model Builder) and visualization tools (Tableau).* Proficiency in the use of Microsoft Office with advanced experience in Excel and Access or SQL Server.* Prior experience working with AML/OFAC software (e.g., LexisNexis Bridger, FircoSoft, ACI Money Transfer System, Oracle FCCM (aka Mantas), or Actimize AML).* Advanced knowledge of statistics/econometrics and excellent analytical ability.* Extensive data management skills.* Demonstrated skill in effectively communicating (verbal and written) analytical results and experiences to a diverse audience; ability to respond to client questions with clear/effective answers and give cohesive presentations.* Exceptional project management and organization skills, ability to support several projects simultaneously to meet strict deadlines.* Excellent problem-solving and decision-making abilities* Strong interpersonal skills; ability to work well in a team environment.",3.1,"Victory Capital Management Inc.
3.1","San Antonio, TX","San Antonio, TX",201 to 500 employees,2013,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1,-1
2030,2238,Data Engineer,$74K-$140K (Glassdoor est.),"Current employees and contingent workers click here to apply and search by the Job Posting Title.
iHeartMedia

Job Summary:

iHeartMedia is the number one audio company in the United States, reaching nine out of 10 Americans every month – and with its quarter of a billion monthly listeners, has a greater reach than any other media company in the U.S. The company’s leadership position in audio extends across multiple platforms including 850 live broadcast stations; streaming music, radio and on demand via its iHeartRadio digital service available across more than 250 platforms and 2,000 devices including smart speakers, digital auto dashes, tablets, wearables, smartphones, virtual assistants, TVs and gaming consoles; through its influencers; social; branded iconic live music events; and podcasts as the #1 commercial podcast publisher globally. iHeartMedia also leads the audio industry in analytics and attribution technology for its marketing partners, using data from its massive consumer base.

The Data Engineer will be responsible for developing expanding, testing and/or optimizing the infrastructure and architecture of existing and future data pipelines, as well as optimizing data collection, flow, and delivery for cross-functional teams including software engineers, data scientists, and business partners. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products

Responsibilities:
Assemble large, complex data sets that meet functional and non-functional business requirements
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources
Develop and maintain standards for administration and operation including the scheduling, running, monitoring, logging, error management, failure recovery, and output validation
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Work with cross functional teams to strive for greater functionality in our data systems, and recommend and implement ways to improve data reliability, efficiency, and quality
Collaborate with data scientists to build data products that ingest data from a variety of data sources, process it with sophisticated data science techniques, and produces results that are consumed by business partners for analysis or action
Contribute to the project planning process by estimating tasks and deliverables
Communicate complex solutions and ideas to a variety of stakeholders (other team members, IT leadership, and business leaders) in easily understandable language
Utilize and stay current in programming languages and software technology
Qualifications:
Bachelor’s Degree in Computer Science, Information Technology, Informatics, or Applied Math – Graduate degree desired
5+ years of commercial experience in a data engineer role with a proven record of manipulating, processing and extracting value from large disconnected datasets.
Strong understanding of ETL processes
Expert-level knowledge of SQL and experience with NoSQL databases
Strong analytic skills related to working with unstructured datasets
Solid programming skills and expertise in Python
Experience working with REST and SOAP APIs
Strong project management, organizational, communication, and presentation skills
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Experience supporting and working with cross-functional teams in a dynamic environment
Location

San Antonio, TX: 20880 Stone Oak Parkway, 78258

Position Type

Regular

The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.

Our organization participates in E-Verify. Click here to learn about E-Verify.

Current employees and contingent workers click here to apply and search by the Job Posting Title.",3.2,"iHeartMedia
3.2","San Antonio, TX","San Antonio, TX",10000+ employees,1972,Company - Public,Radio,Media,$5 to $10 billion (USD),"CUMULUS MEDIA, Entercom, Cox Media Group",-1
2031,2239,Contract Data Analyst,$74K-$140K (Glassdoor est.),"Amyx is seeking to hire a Contract Data Analyst located in San Antonio, TX. The successful candidate must have A 4-year course of study leading to a bachelor's degree with a major in any field, that includes or is supplemented by at least 24 semester hours in any combination of the following fields: accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization. Also, a minimum of 2 years of experience serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst.

Responsibilities and Skills:
Knowledge of WAWF eBusiness processes.
Knowledge of the federal acquisition process.
Knowledge of contracting principles, laws regulation and procedures.
Knowledge of methods and techniques of fact-finding, analysis, and resolution of complex problems, and the ability to develop concrete action plans to solve problems.
Knowledge and Experience of the WAWF eBusienss Suite, to include: iRAPT, EDA, IUID, CDR, MyInvoice, and Contract Closeout.
Good verbal, analytical and written communication skills.
Good organizational skills in tracking data and actions.
Knowledge and Experience writing professional documents.
Knowledge and Experience in Customer Service.
Skilled in Business Intelligence Reporting.
Proficient in the use of the Microsoft suite of applications including Word, SharePoint, Excel, PowerPoint, Outlook, and Project as well as with Adobe Acrobat.

Supported Technologies:
Integrative Acquisition Environment
DOD acquisition system

Required Skills and Qualifications:
Bachelor’s degree and preferred majors are accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization.
2 years of experience required in serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst.

Desired Skills and Qualifications:
Knowledge of Federal and DOD acquisition procedures
Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.
Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.
Physical Demands
Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.",4.0,"Amyx, Inc.
4.0","San Antonio, TX","Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
2032,2240,Senior Data Analyst,$74K-$140K (Glassdoor est.),"Who we’re looking for
Earth Class Mail is searching for a skilled analyst who has experience across the Business Intelligence (BI) stack, including data pipelining, modeling, visualization, and reporting to key stakeholders. The ideal candidate is ambitious, naturally curious, and has sharp critical thinking skills that are complemented by a broad analytical toolset and strong business acumen. The successful candidate will become a subject matter expert of our data systems, leverage data to inform business decisions, and effectively communicate analysis and findings to all levels of the organization. This is an exciting and unique opportunity to influence senior leadership and impact business outcomes while learning all aspects of the business.
Responsibilities
Lead design, development, and implementation of new BI solutions and reports
Lead research projects, business, and market analysis
Use automation and intelligent methodologies to design and improve processes
Serve as subject matter expert for revenue-centric data systems
Co-administer our reporting database using Azure SQL Server
Develop and maintain data pipelines using Azure Data Factory
Document processes, methods, research, and analysis
Communicate and present research and analysis to all levels in the organization
Advise management on key business decisions and processes

Required Experience
Bachelor's Degree in one of the following fields:
Data Analytics, Computer Science, Business, Finance, Science, or Mathematics
3+ years professional experience as a data or business analyst
Advanced proficiency with SQL in a major relational database system
Advanced proficiency with Microsoft Excel and/or Google Sheets
Proficiency with a data visualization tool(s)
Power BI, Tableau, Looker, etc.
Experience building data pipeline/ETL processes
Understanding of data warehousing, data modeling, and data management principles
Excellent written and verbal communication skills
Strong analytical and problem-solving skills

Preferred Experience
Experience working as a team or project lead
Knowledge of basic Accounting and/or Finance principles
Experience with Financial reporting
Working experience with Python, specifically Pandas
Proficiency with Microsoft SQL Server
Exposure to NoSQL database technologies like MongoDB or ElasticSearch
Exposure to a data integration or ETL platform like Azure Data Factory",4.5,"Scaleworks
4.5","San Antonio, TX","San Antonio, TX",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,-1
2033,2241,Data Science Team Lead,$74K-$140K (Glassdoor est.),"Data Science Team Lead Commercial San Antonio TX

Job Summary:


Responsible for the planning and engineering of an organization's systems infrastructure, which also includes the implementation and design of cybersecurity hardware and software.

IPSecure, Inc.

At IPSecure, youll shape the future of Cybersecurity by building the technology to tackle the toughest challenges and stay ahead of the latest threats. If you want to join an agile and growing company that makes a direct impact in the cyber fight against cyber criminals, IPSecure is the place for you. Driven by passionate people who are dedicated to making the world safer, its no wonder weve been named a Top Place to Work in San Antonio.

While you will be given lots of room to learn and grow, here are the starting requirements:
Must have experience with Microsoft Suite (preferably to include Visio and Project).
Must be able to operate and meet imposed deadlines.
Must be able to research and help develop solutions for cybersecurity requirements
Must be able to work with minimal supervision or detailed direction.
Responsibilities:

This position involves the development of content and integrations for the Security Information and Event Management (SIEM) Platform (Sumo Logic Cloud SIEM Enterprise).
Candidates should have a working knowledge of Data Science principals and experience with data science methodologies.
Additional experiences include:
Experience with API programming and development; Experienced with schema use; Proficient in python; working knowledge of Spark.
Primary Role/Skill:
1 - Python Programming Language (P3 - Advanced)
Our Benefits!
We offer competitive benefit plans for medical, dental and vision.
Paid Time Off Accrued.
Educational Assistant Program.
Supplemental Insurance.
Short Term / Long Term Disability Insurance.
Paid Vacation, Holiday and Sick Leave.
Retirement Plan with Employer Contribution match.
**IPSecure is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.***",3.0,"IPSecure, Inc.
3.0","San Antonio, TX","San Antonio, TX",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
2034,2242,Federal - Data Engineer - Senior,$83K-$154K (Glassdoor est.),"Organization: Accenture Federal Services

Location: Chantilly, VA

Accenture Federal Services, a wholly owned subsidiary of Accenture LLP, is a U.S. company with offices in Arlington, Virginia. Accenture's federal business has served every cabinet-level department and 30 of the largest federal organizations. Accenture Federal Services transforms bold ideas into breakthrough outcomes for clients at defense, intelligence, public safety, civilian and military health organizations.

We believe that great outcomes are everything. It's what drives us to turn bold ideas into breakthrough solutions. By combining digital technologies with what works across the world's leading businesses, we use agile approaches to help clients solve their toughest problems fast-the first time. So, you can deliver what matters most.

Count on us to help you embrace new ways of working, building for change and put customers at the core. A wholly owned subsidiary of Accenture, we bring over 30 years of experience serving the federal government, including every cabinet-level department. Our 7,200 dedicated colleagues and change makers work with our clients at the heart of the nation's priorities in defense, intel, public safety, health and civilian to help you make a difference for the people you employ, serve and protect.

Job Description:

Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.",4.2,"Solekai Systems Corp
4.2","San Antonio, TX","San Diego, CA",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,-1
2035,2243,Senior Data Analyst,$83K-$154K (Glassdoor est.),"Job Description (Posting).* Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks* Identify trends and opportunities for growth through analysis of complex data sets* Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets* Create best-practice reports based on data mining, analysis, and visualization* Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data* Work directly with management and users to gather requirements, provide status updates, and build relationships* Work closely with project managers to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision-makers* Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity* Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources* Define and implement data acquisition and integration logic, selecting appropriate combination of methods and tools within defined technology stack to ensure optimal scalability and performance of the solution* Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across data sets (1.) Suggest design solutions (2.) To participate and facilitate the walkthrough' to brief the Functional Specification mapping to Business Requirements. (3.) To prepare the functional specification document and ensure for completeness and storage. (4.) To prepare and / or aid the preparation of test cases in line with functional requirements (5.) To understand the business requirements and map it to functional specifications.",3.5,"HCL Technologies Ltd.
3.5","San Antonio, TX","Noida, India",10000+ employees,1991,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Infosys, Tata Consultancy Services, Wipro",-1
2036,2244,Data Engineer,$83K-$154K (Glassdoor est.),"OverviewInterested in working with talented people to help develop innovative solutions to some of society's most complex and challenging problems? We are Guidehouse, a leading consulting firm serving the public sector and commercial clients with specialized capabilities in strategy, technology, and risk management. You may not yet know our name, but we have a rich history. Guidehouse is a combination of PwC's former public sector practice and Navigant's deep expertise in energy, financial services and healthcare.We offer an exciting, fast-paced environment that fosters intellectual growth and rewards individuals based on impact, not tenure. Our firm is at the forefront of an emerging model solving complex problems that stretch across government and private companies, affording our people the opportunity to be on the cutting edge of the consulting profession. By focusing on markets facing transformational change, technology-driven innovation, and significant regulatory pressure, our employees also develop and deploy world class knowledge and problem solving that leads to breakthrough solutions.ResponsibilitiesThe Data Engineer will need to demonstrate experience and knowledge of Activity Management, Requirement Identification, and Project Programming Programs or cross-Directorate programs which are still under development and need support to meet the end-state.Develop life-cycle sustainment and risk mitigation strategy recommendations for two FYDP's for each portfolio.Analyze built infrastructure data, aggregate requirements, assesses asset performance predictions from SMS, analyze statistics and trend across portfolios, validate data, perform data management, compile other summarizing reports for each AMP portfolio, and recommend enhancements to processes.Support AMP Enterprise Managers with the development of portfolio-specific SEED's to support Installation Development Plans (IDPs) and the Enterprise Planning Process. Maturation of Requirement Identification by analyzing built infrastructure data, aggregating requirements, assessing asset performance predictions from SMS, analyzing statistics and trends across portfolios, validating data, performing data management, compiling other summarizing reports for each AMP portfolio, and recommending enhancements to process.Assisting in the AFCAMP process, establishment of document templates/tools, logistic support, training, and process refinement recommendations associated with the maturation of the AFCAMP process.Qualifications* BA/BS or MA/MS degree in the field(s) of Data Engineering and Information Technology* 3 to 10 years of related experience in Web Based Application Design, Data Management, Document Management/Repository* Active Public Trust clearanceQualifications - Desired* Air Force Activity Management ExperienceAdditional RequirementsThe successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.DisclaimerGuidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.Rewards and BenefitsGuidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.Benefits include:* Medical, Rx, Dental & Vision Insurance* Personal and Family Sick Time & Company Paid Holidays* Parental Leave and Adoption Assistance* 401(k) Retirement Plan* Basic Life & Supplemental Life* Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts* Short-Term & Long-Term Disability* Tuition Reimbursement, Personal Development & Learning Opportunities* Skills Development & Certifications* Employee Referral Program* Corporate Sponsored Events & Community Outreach* Emergency Back-Up Childcare Program",3.2,"Navigant Consulting
3.2","San Antonio, TX","Washington, DC",5001 to 10000 employees,1996,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),-1,-1
2037,2245,Marketing & Data Analyst,$83K-$154K (Glassdoor est.),"Principle Auto

Marketing Analyst

Who You Are

Principle Auto is looking for a driven and enthusiastic Marketing Analyst to join our corporate operations! As our Marketing Analyst you are known for your attention to detail, and often looked at by your peers to review the final presentation of a product. You are motivated by a fast paced, dynamic environment that requires you to manage multiple projects at once. You aren't scared by large amounts of data, but are excited to find the story behind the data. You value the opportunity to lay out a new vision and build a strategy that engages and excites people about the best brands in the market.

Who We Are

Principle Auto was founded on the desire to change the auto industry. Our purpose is to be a trusted, caring friend helping people move through life in a sustainable way. We are in the business of building relationships and we want to ensure that we are there for our guests throughout their journey.

Our Values Are Our G-U-I-D-E
Great People- We are dedicated to our customers, to our work, and to each other.
Unparalleled Service- We are proactive in our work. We aim to prevent fires instead of having to put them out. We strive to have a servant's heart, and to be selfless in our conduct.
Integrity- We are accountable to each other to do what is right. We keep our commitments.
Defining Excellence- We make our colleagues better. We set each other up for success. We prioritize our work and deliverables in order to meet high yet reasonable expectations
Enthusiasm- We aim to have fun every day. If it's not fun, we find a way to make it so. We are open to new ideas and ways of thinking.
Who Your Stakeholders Are and How This Role Delivers Value to Them

Your external stakeholders are our clients, prospects and business community members. Your internal stakeholders will be Principle Auto associates, our vendors and contractors. You'll provide value by treating all stakeholders with the highest sense of integrity, honesty and respect. You will work directly with the following team members to ensure their success:
Marketing Director: Our Marketing Director is an experienced director with a focus on results. He understands his direct reports perform their best when they are allowed to express and showcase their creativity in their work. On a daily basis the Marketing Director will work directly with the Marketing Analyst to plan, develop and execute a marketing strategy that drives our business. The Marketing Analyst will be the data analyst for the department and responsible for interpreting large data sets. In addition, the Marketing Analyst will also ensure the department's success by generating ROI, impact reports and various analyses that deliver results in achieving the organization's strategic goals.
Your Responsibilities as our Marketing Analyst

You will partner with members of our Leadership Team, General Managers, and key decision makers to report on marketing trends, product analysis and generate ROI statements. As our Marketing Analyst you will provide reports and analysis to measure the efficacy of the company's overall marketing efforts. You will not only generate various reports, but also present the results of your findings and consult on strategies that will drive our business. The Marketing Analyst will live out our principle of Defining Excellence by always looking for more efficient, creative and better ways to accomplish the company's strategic goals. You will be responsible for the following:
Build marketing reports to analyze current use and efficacy of the company's marketing efforts
Maintain monthly, quarterly and ad-hoc reports on Key Performance Indicators (KPIs) deemed necessary by senior leaders
Utilizing your understanding of Search Engine Optimization (SEO) and Google analytics to develop and maintain best practices
Measure and maintain KPIs required by the operations teams related to SEO and Google Analytics
Build various regression analysis reports to determine ROI of particular campaigns, software and other marketing efforts
Collaborate with internal and external stakeholders to identify areas of improvement or development that can be made related to the marketing efforts of the business
Foster a relationship founded on a strong passion for customer-service and results with the Leadership Team to generate reporting and deliverables as needed in a fast and efficient manner
Competency and Qualifications of the Creative Marketing Coordinator

To perform the job successfully, an individual should demonstrate the following competencies:
Bachelor's degree in Marketing, Business or related field
3-5 years of direct internal reporting work
2+ years of experience working in a consulting capacity for internal decision makers strongly preferred
Google Analytics Certification
Excellent written and verbal communication skills
Strong excel skills- including pivot tables, v-look ups and macros
Strong attention to detail
Problem Solving - Identifies and resolves problems in a timely manner.
Verbal Communication - Listens and gets clarification.
Adaptability - Adapts to changes in the work environment.
Planning/Organizing - Uses time efficiently; must be comfortable working in fast-paced, deadline driven environment; must have ability to prioritize and manage multiple projects simultaneously.
Quality - Demonstrates accuracy and thoroughness; looks for ways to improve and promote quality; applies feedback to improve performance; monitors own work to ensure quality.
About Our People

We recruit and hire the top talent in the industry. We invest in our people through dozens of training programs offered internally and externally. Principle Auto understands the importance of taking care of its associates and maintaining the unique culture that fosters exceptional care for our guests.

Principle Auto maintains a strong policy of equal opportunities for all associates and applicants of employment. We hire, train, promote and compensate associates on the basis of personal and professional competence and potential for advancement without regard to race, color, religion, sex, national origin, age, marital status, disability or citizenship as well as other classifications protected by applicable federal, state or local laws. EOE

Job Posted by ApplicantPro",4.1,"Principle Auto
4.1","San Antonio, TX","San Antonio, TX",501 to 1000 employees,2014,Company - Private,Vehicle Dealers,Retail,Unknown / Non-Applicable,-1,-1
2038,2246,SCIENTIST - MICROENCAPSULATION,$83K-$154K (Glassdoor est.),"Join our Chemistry and Chemical Engineering Division as a Scientist to work independently and with minimal supervision in chemistry lab environment performing a variety of innovative microencapsulation techniques such as milling, spray drying, spinning disk atomization, fluid bed coating, emulsion-based chemical techniques (coacervation, in-situ and interfacial polymerization). Operate and maintain microencapsulation and analytical equipment to include spray dryers, mills, particle size analyzer, and optical microscopes. Document experiments and results in laboratory notebooks. Assist project managers by compiling and review of data and providing technical input on reports and proposals. Interact with clients. Oversee laboratory operations to include leading technicians of project assignments. Maintain a clean, safe work environment.


Education/Experience:


Requires a BS degree in Chemistry or Biochemistry with 0-1 year of experience working as a chemist in the microencapsulation field. Must have at least a 3.0 GPA. Experience in microencapsulation techniques to include spray drying, spinning disk atomization, and emulsion-based microencapsulation techniques is required. Knowledge in characterization of microencapsulated products such as microscopy and particle size analysis. A valid/clear driver's license is required.


Special Considerations:


Job Locations: San Antonio, Texas


For more information about this division, visit the Chemistry & Chemical Engineering home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace",4.1,"Southwest Research Institute
4.1","San Antonio, TX","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",-1
